solver,sa_enabled,run,seed,elapsed_s,layer3_ms,layer4_ms,utility_score,n_assignments,is_feasible,error
backtracking,False,1,100,3.186,2755,16,0.347059,35,True,
backtracking,False,2,200,2.666,2253,19,0.33098,38,True,
backtracking,False,3,300,5.206,4614,18,0.349237,39,True,
backtracking,True,1,100,10.819,2761,7637,0.363432,35,True,
backtracking,True,2,200,7.954,2256,5283,0.333269,38,True,
backtracking,True,3,300,9.696,4636,4492,0.350909,39,True,
tabu_search,False,1,100,1.173,753,15,0.387772,35,True,
tabu_search,False,2,200,1.655,1218,20,0.368956,38,True,
tabu_search,False,3,300,1.558,971,17,0.370232,39,True,
tabu_search,True,1,100,6.792,924,5415,0.389174,35,True,
tabu_search,True,2,200,10.426,1215,8799,0.375228,38,True,
tabu_search,True,3,300,13.692,1057,12058,0.38383,39,True,
milp,False,1,100,5.445,5012,17,0.402479,35,True,
milp,False,2,200,5.398,4971,19,0.396902,38,True,
milp,False,3,300,7.84,7261,18,0.400118,39,True,
milp,True,1,100,8.602,4592,3586,0.400377,35,True,
milp,True,2,200,11.137,4023,6704,0.394211,38,True,
milp,True,3,300,16.694,8429,7180,0.400925,39,True,
